handle,Tweet,Retweet,Reply,Total,#tweets,#followers,#friends,Joining Date,n-cubit related %age
Ajaybhatnagar64,1,0,0,1,1,5,73,Thu May 11 07:34:50 2017,1.0
Ajaygupta_rs,0,1,0,1,1,0,22,Sun May 14 04:18:51 2017,1.0
Ajaypra67163321,0,1,0,1,3,0,80,Thu May 11 09:46:17 2017,0.333333333333
Ajaysha53209962,0,1,0,1,2,3,67,Sun May 14 12:39:04 2017,0.5
Ajeet88104070,1,0,0,1,1,36,112,Sun May 14 04:38:27 2017,1.0
AjetMathur,1,0,0,1,1,7,20,Sun May 14 00:41:40 2017,1.0
AjitSri21287378,1,0,0,1,1,0,0,Sun May 14 04:20:21 2017,1.0
Ajitkm137,1,0,0,1,1,0,0,Fri May 12 03:36:14 2017,1.0
Ajitpra25804038,0,1,0,1,4,0,1,Sun May 14 15:56:23 2017,0.25
Akanksh64830765,2,0,0,2,2,0,0,Sun May 14 08:01:02 2017,1.0
Akash9211Saini,1,0,0,1,2,0,20,Sun May 14 03:57:25 2017,0.5
AkashGhai3,0,1,0,1,1,0,1,Sun May 14 04:16:12 2017,1.0
AkashSa41998945,1,0,0,1,1,2,22,Sun May 14 05:18:33 2017,1.0
AkellaChaitanya,1,0,0,1,1,2,1,Sun May 14 09:49:14 2017,1.0
AkellaSuparna,1,0,0,1,9,1,20,Sat May 13 14:40:38 2017,0.111111111111
AkhilMistry3,2,6,0,8,25,26,96,Mon May 15 04:15:35 2017,0.32
AkhilaMandapati,0,1,0,1,1,2,2,Fri May 12 14:38:53 2017,1.0
Akhilabareddy,1,0,0,1,1,2,0,Sat May 13 14:53:26 2017,1.0
Akhiles95567577,0,1,0,1,17,3,20,Sun May 14 14:06:59 2017,0.0588235294118
AkhileshNigam18,1,1,0,2,2,0,0,Sat May 13 14:29:52 2017,1.0
Akhilesh_RS,1,1,0,2,3,8,22,Sat May 13 16:03:10 2017,0.666666666667
AkleshY21026188,1,0,0,1,7,30,45,Sun May 14 07:04:18 2017,0.142857142857
AksharGrover,1,0,0,1,1,2,3,Tue May 09 13:41:53 2017,1.0
AkshatM79184957,1,0,0,1,1,1,0,Sun May 14 03:17:08 2017,1.0
AkshatSatsangi,1,0,0,1,1,10,3,Thu May 11 18:07:26 2017,1.0
Akshay58953572,0,1,0,1,3,0,22,Sun May 14 05:10:38 2017,0.333333333333
AkshayK12727116,1,0,0,1,1,0,1,Sun May 14 04:44:22 2017,1.0
AkshayS09963442,1,0,0,1,1,1,56,Sun May 14 16:05:55 2017,1.0
AkshayS76998888,0,1,0,1,10,0,1,Sun May 14 04:22:31 2017,0.1
Alakh2108,1,0,0,1,1,1,2,Sun May 14 07:54:47 2017,1.0
Alakh59830015,1,0,0,1,2,0,31,Sat May 13 12:21:36 2017,0.5
AlakhKumar2009,0,1,0,1,1,0,2,Sun May 14 04:30:41 2017,1.0
AlakhMy,1,1,0,2,3,1,6,Tue May 09 16:12:05 2017,0.666666666667
AlakhSharma9,1,1,0,2,5,5,10,Sat May 13 18:09:40 2017,0.4
AlakhShri,0,2,0,2,41,3,2,Thu May 11 16:32:56 2017,0.0487804878049
AlakhSwaroop,2,0,0,2,8,3,23,Sat May 13 18:48:35 2017,0.25
AlakhTalwar,0,5,0,5,28,10,11,Sun May 14 03:07:45 2017,0.178571428571
Alishakishore,1,6,0,7,20,21,6,Fri May 12 15:08:27 2017,0.35
Alivelu12,0,1,0,1,19,2,2,Wed May 17 12:40:38 2017,0.0526315789474
Alka27131985,0,5,0,5,23,0,1,Mon May 15 15:09:15 2017,0.217391304348
Alka57344818,0,1,0,1,4,1,1,Mon May 15 13:38:13 2017,0.25
Alka9690,0,1,0,1,27,2,14,Thu May 11 09:22:21 2017,0.037037037037
AlkaDhawan2,0,0,1,1,1,0,1,Sun May 14 05:03:06 2017,1.0
AlkaSri77813015,2,1,0,3,4,0,0,Sun May 14 04:43:30 2017,0.75
AlkaSri78001230,1,0,0,1,1,0,0,Sun May 14 05:07:59 2017,1.0
Alkaahuja14,1,0,0,1,1,0,22,Sat May 13 14:46:14 2017,1.0
Alkha45450703,1,0,0,1,1,0,0,Sun May 14 04:26:38 2017,1.0
AllamrajuSumira,2,0,0,2,2,1,2,Sat May 13 14:34:34 2017,1.0
AlluriLalitha,1,1,0,2,2,0,0,Sat May 13 01:50:00 2017,1.0
